dataset_id,tile_r,tile_c,tile_h,tile_w,channels
2023-11-02_08h57m04s,256,768,256,256,45
2023-11-02_08h57m04s,256,1024,256,256,47
2023-11-02_08h57m04s,256,1280,256,256,33
2023-11-02_08h57m04s,256,1536,256,256,57
2023-11-02_08h57m04s,256,1792,256,256,35
2023-11-02_08h57m04s,512,512,256,256,46
2023-11-02_08h57m04s,512,1024,256,256,64
2023-11-02_08h57m04s,512,1280,256,256,64
2023-11-02_08h57m04s,512,1792,256,256,64
2023-01-04_15h22m20s,0,0,256,256,9
2023-01-04_15h22m20s,0,256,256,256,9
2023-01-04_15h22m20s,0,512,256,256,9
2023-11-02_21h49m19s,0,0,256,256,64
2023-11-02_08h55m38s,0,512,256,256,37
2023-11-02_08h55m38s,0,768,256,256,30
2023-11-02_08h55m38s,0,1024,256,256,43
2023-11-02_08h55m38s,0,1280,256,256,55
2023-11-02_08h55m38s,0,1536,256,256,64
2023-11-02_08h55m38s,0,1792,256,256,21
2023-11-02_08h55m38s,256,0,256,256,64
2023-11-02_08h55m38s,256,768,256,256,51
2023-11-02_08h55m38s,256,1280,256,256,12
2023-11-02_08h55m38s,256,1536,256,256,27
2023-11-02_08h55m38s,512,0,256,256,53
2023-11-02_08h55m38s,512,512,256,256,46
2023-11-02_08h55m38s,512,768,256,256,64
2023-11-02_08h55m38s,512,1024,256,256,64
2023-11-02_08h55m38s,512,1280,256,256,47
2023-11-02_08h55m38s,512,1792,256,256,64
2023-08-05_13h51m43s,0,1280,256,256,45
2023-08-05_13h51m43s,512,1536,256,256,64
2023-08-05_13h51m43s,1536,0,256,256,60
2023-08-05_13h51m43s,1536,256,256,256,64
2023-08-05_13h51m43s,1536,768,256,256,57
2023-08-05_13h51m43s,1536,1024,256,256,64
2023-08-05_13h51m43s,1536,1280,256,256,55
2023-08-05_13h51m43s,1536,1536,256,256,64
2023-08-05_13h51m43s,1536,2048,256,256,48
2025-08-22_03h08m23s,0,0,256,256,17
2023-04-04_08h03m35s,0,0,256,256,13
2024-07-21_22h31m56s,0,0,256,256,37
2025-08-27_01h37m31s,0,0,256,256,15
2023-09-11_18h53m27s,0,0,256,256,27
2023-09-11_18h53m27s,0,512,256,256,33
2023-09-11_18h53m27s,0,1536,256,256,40
2023-09-11_18h53m27s,0,1792,256,256,35
2023-09-11_18h53m27s,256,512,256,256,20
2023-09-11_18h53m27s,256,1536,256,256,42
2023-09-11_18h53m27s,256,1792,256,256,24
2023-09-11_18h53m27s,256,2560,256,256,46
2023-09-11_18h53m27s,512,0,256,256,18
2023-09-11_18h53m27s,512,1536,256,256,36
2023-09-11_18h53m27s,768,0,256,256,23
2023-09-11_18h53m27s,768,1536,256,256,25
2023-09-11_18h53m27s,1280,2048,256,256,29
2023-09-11_18h53m27s,1536,1024,256,256,41
2023-09-11_18h53m27s,1536,2048,256,256,25
2023-09-11_18h53m27s,256,3840,256,256,55
2023-09-11_18h53m27s,512,3584,256,256,55
2023-09-11_18h53m27s,512,3840,256,256,54
2023-09-11_18h53m27s,768,3584,256,256,56
2023-09-11_18h53m27s,768,3840,256,256,54
2023-09-11_18h53m27s,1024,3584,256,256,56
2023-09-11_18h53m27s,1024,3840,256,256,51
2023-03-01_13h24m33s,0,0,256,256,64
2023-09-28_11h39m20s,0,0,256,256,27
2023-09-28_11h39m20s,0,256,256,256,47
2023-09-28_11h39m20s,0,768,256,256,47
2023-09-28_11h39m20s,0,1024,256,256,35
2023-09-28_11h39m20s,0,1280,256,256,12
2023-09-28_11h39m20s,0,1536,256,256,34
2023-09-28_11h39m20s,0,2048,256,256,22
2023-09-28_11h39m20s,0,2304,256,256,31
2023-09-28_11h39m20s,256,0,256,256,28
2023-09-28_11h39m20s,256,256,256,256,26
2023-09-28_11h39m20s,256,768,256,256,20
2023-09-28_11h39m20s,256,1024,256,256,15
2023-09-28_11h39m20s,256,1536,256,256,17
2023-09-28_11h39m20s,256,2048,256,256,16
2023-09-28_11h39m20s,256,2304,256,256,30
2023-09-28_11h39m20s,512,0,256,256,31
2023-09-28_11h39m20s,512,256,256,256,45
2023-09-28_11h39m20s,512,768,256,256,59
2023-09-28_11h39m20s,512,1024,256,256,36
2023-09-28_11h39m20s,512,1280,256,256,8
2023-09-28_11h39m20s,512,1536,256,256,60
2023-09-28_11h39m20s,512,1792,256,256,12
2023-09-28_11h39m20s,512,2048,256,256,28
2023-09-28_11h39m20s,512,2304,256,256,33
2023-10-24_17h13m08s,0,0,256,256,64
2024-05-21_09h58m18s,0,0,256,256,55
2024-05-21_09h58m18s,0,256,256,256,55
2024-05-21_09h58m18s,256,0,256,256,55
2024-05-21_09h58m18s,256,256,256,256,55
2023-06-15_19h47m33s,0,0,256,256,38
2023-06-15_19h47m33s,0,256,256,256,52
2023-06-15_19h47m33s,0,512,256,256,16
2023-06-15_19h47m33s,0,768,256,256,40
2023-06-15_19h47m33s,0,1024,256,256,32
2023-06-15_19h47m33s,0,1536,256,256,38
2023-06-15_19h47m33s,0,1792,256,256,11
2023-06-15_19h47m33s,0,2048,256,256,41
2023-06-15_19h47m33s,0,2304,256,256,36
2023-06-15_19h47m33s,256,0,256,256,14
2023-06-15_19h47m33s,256,256,256,256,16
2023-06-15_19h47m33s,256,768,256,256,21
2023-06-15_19h47m33s,256,1024,256,256,10
2023-06-15_19h47m33s,256,2048,256,256,11
2023-06-15_19h47m33s,512,0,256,256,23
2023-06-15_19h47m33s,512,256,256,256,59
2023-06-15_19h47m33s,512,768,256,256,57
2023-06-15_19h47m33s,512,1024,256,256,47
2023-06-15_19h47m33s,512,1280,256,256,16
2023-06-15_19h47m33s,512,1536,256,256,64
